QuarterID,GameID,Number,Name,AwayScore,HomeScore
160379,18843,3,3,30,21
160380,18843,4,4,23,26
160381,18840,1,1,36,23
160382,18840,2,2,34,28
160383,18840,3,3,28,25
160384,18840,4,4,26,22
160385,18842,1,1,20,36
160386,18842,2,2,24,22
160387,18842,3,3,29,42
160388,18842,4,4,33,26
160389,18841,1,1,36,31
160390,18841,2,2,17,29
160391,18841,3,3,30,24
160392,18841,4,4,39,33
160393,18844,1,1,26,36
160394,18844,2,2,30,32
160395,18844,3,3,25,27
160396,18844,4,4,22,31
160397,18845,1,1,27,30
160398,18845,2,2,33,25
160399,18845,3,3,35,33
160400,18845,4,4,23,34
160401,18846,1,1,28,39
160402,18846,2,2,33,21
160403,18846,3,3,29,22
160404,18846,4,4,26,29
160405,18847,1,1,31,24
160406,18847,2,2,34,32
160407,18847,3,3,28,23
160408,18847,4,4,33,29
160409,18848,1,1,26,25
160410,18848,2,2,29,29
160411,18848,3,3,34,28
160412,18848,4,4,17,24
160413,18849,1,1,37,31
160414,18849,2,2,39,35
160415,18849,3,3,33,35
160416,18849,4,4,17,27
160417,18848,5,OT,12,15
160418,18850,1,1,29,35
160419,18850,2,2,22,30
160420,18850,3,3,23,29
160421,18850,4,4,38,23
160422,18851,1,1,26,14
160423,18851,2,2,31,20
160424,18851,3,3,22,31
160425,18851,4,4,26,30
160426,18852,1,1,30,23
160427,18852,2,2,30,33
160428,18852,3,3,31,32
160429,18852,4,4,19,35
160430,18853,1,1,38,35
160431,18854,1,1,33,28
160432,18853,2,2,33,33
160433,18853,3,3,30,34
160434,18853,4,4,23,37
160435,18854,2,2,31,31
160436,18854,3,3,34,27
160437,18854,4,4,22,28
160438,18855,1,1,19,31
160439,18855,2,2,32,29
160440,18855,3,3,16,32
160441,18855,4,4,23,23
160442,18856,1,1,41,36
160443,18856,2,2,24,36
160444,18856,3,3,33,23
160445,18856,4,4,33,31
160446,18857,1,1,28,37
160447,18857,2,2,25,24
160448,18857,3,3,29,38
160449,18857,4,4,29,35
160450,18858,1,1,28,22
160451,18858,2,2,23,33
160452,18858,3,3,32,28
160453,18858,4,4,34,23
160454,18860,1,1,32,33
160455,18860,2,2,34,26
160456,18860,3,3,22,32
160457,18860,4,4,25,27
160458,18859,1,1,23,26
160459,18859,2,2,30,23
160460,18859,3,3,36,32
160461,18859,4,4,32,41
160462,18861,1,1,26,27
160463,18861,2,2,24,30
160464,18861,3,3,31,28
160465,18861,4,4,25,19
160466,18862,1,1,26,37
160467,18862,2,2,31,33
160468,18862,3,3,34,30
160469,18862,4,4,27,38
160470,18863,1,1,25,31
160471,18863,2,2,24,34
160472,18863,3,3,36,28
160473,18863,4,4,37,25
160474,18864,1,1,26,23
160475,18864,2,2,21,27
160476,18864,3,3,34,36
160477,18864,4,4,21,28
160478,18865,1,1,26,26
160479,18865,2,2,26,24
160480,18865,3,3,32,37
160481,18865,4,4,20,26
160482,18866,1,1,27,29
160483,18866,2,2,30,30
160484,18866,3,3,26,28
160485,18866,4,4,24,25
160486,18867,1,1,27,35
160487,18867,2,2,37,39
160488,18867,3,3,38,22
160489,18867,4,4,27,31
160490,18870,1,1,22,20
160491,18870,2,2,27,34
160492,18870,3,3,30,25
160493,18870,4,4,33,19
160494,18868,1,1,32,23
160495,18868,2,2,15,18
160496,18868,3,3,25,28
160497,18868,4,4,24,31
160498,18869,1,1,22,37
160499,18869,2,2,31,25
160500,18869,3,3,33,24
160501,18869,4,4,30,39
160502,18872,1,1,18,32
160503,18872,2,2,19,30
160504,18872,3,3,35,25
160505,18872,4,4,38,25
160506,18871,1,1,27,18
160507,18871,2,2,25,29
160508,18871,3,3,29,27
160509,18871,4,4,20,25
160510,18873,1,1,28,33
160511,18873,2,2,32,39
160512,18873,3,3,26,18
160513,18873,4,4,34,26
160514,18874,1,1,33,26
160515,18874,2,2,13,45
160516,18874,3,3,40,20
160517,18874,4,4,35,21
160518,18876,1,1,23,30
160519,18876,2,2,31,25
160520,18876,3,3,25,33
160521,18876,4,4,19,25
160522,18875,1,1,49,24
160523,18875,2,2,34,31
160524,18875,3,3,32,37
160525,18875,4,4,35,38
160526,18877,1,1,21,17
160527,18877,2,2,27,40
160528,18877,3,3,30,21
160529,18877,4,4,22,33
160530,18878,1,1,26,31
160531,18878,2,2,30,25
160532,18878,3,3,25,34
160533,18878,4,4,33,29
160534,18879,1,1,24,21
160535,18879,2,2,21,37
160536,18879,3,3,34,31
160537,18879,4,4,23,31
160538,18880,1,1,38,40
160539,18880,2,2,36,34
160540,18880,3,3,27,45
160541,18880,4,4,26,28
160542,18881,1,1,33,47
160543,18881,2,2,28,19
160544,18881,3,3,29,34
160545,18881,4,4,10,33
160546,18882,1,1,33,21
160547,18882,2,2,29,25
160548,18882,3,3,25,34
160549,18882,4,4,23,36
160550,18883,1,1,30,32
160551,18883,2,2,28,18
160552,18883,3,3,24,25
160553,18883,4,4,13,23
160554,18884,1,1,27,34
160555,18884,2,2,24,19
160556,18884,3,3,24,27
160557,18884,4,4,28,25
160558,18885,1,1,28,24
160559,18885,2,2,35,23
160560,18885,3,3,20,27
160561,18885,4,4,16,24
160562,18886,1,1,32,28
160563,18886,2,2,33,32
160564,18886,3,3,34,37
160565,18886,4,4,28,29
160566,18887,1,1,15,36
160567,18887,2,2,32,22
160568,18887,3,3,30,40
160569,18887,4,4,20,30
160570,18888,1,1,37,30
160571,18888,2,2,40,24
160572,18888,3,3,21,28
160573,18888,4,4,35,33
160574,18889,1,1,29,46
160575,18889,2,2,39,27
160576,18889,3,3,23,29
160577,18889,4,4,29,24
160578,18890,1,1,41,41
160579,18890,2,2,24,34
160580,18890,3,3,33,32
160581,18890,4,4,35,30
160582,18893,1,1,27,26
160583,18894,1,1,39,43
160584,18894,2,2,38,34
160585,18894,3,3,32,27
160586,18894,4,4,28,28
160587,18891,1,1,26,34
160588,18891,2,2,20,18
160589,18891,3,3,39,21
160590,18891,4,4,26,29
160591,18893,2,2,26,32
160592,18893,3,3,20,23
160593,18893,4,4,26,26
160594,18892,1,1,25,30
160595,18892,2,2,18,28
160596,18892,3,3,28,23
160597,18892,4,4,37,22
160598,18897,1,1,24,23
160599,18897,2,2,34,27
160600,18897,3,3,26,17
160601,18897,4,4,29,28
160602,18896,1,1,31,19
160603,18896,2,2,33,47
160604,18896,3,3,27,36
160605,18896,4,4,33,32
160606,18895,1,1,22,24
160607,18895,2,2,32,29
160608,18895,3,3,42,37
160609,18895,4,4,24,32
160610,18898,1,1,30,25
160611,18898,2,2,24,28
160612,18898,3,3,28,28
160613,18898,4,4,22,32
160614,18901,1,1,36,32
160615,18901,2,2,19,15
160616,18901,3,3,24,30
160617,18901,4,4,17,34
160618,18900,1,1,30,27
160619,18900,2,2,28,32
160620,18900,3,3,43,31
160621,18900,4,4,29,32
160622,18899,1,1,26,34
160623,18899,2,2,32,26
160624,18899,3,3,33,25
160625,18899,4,4,19,25
160626,18902,1,1,37,25
160627,18902,2,2,37,23
160628,18902,3,3,23,26
160629,18902,4,4,16,21
160630,18899,5,OT,10,7
160631,18903,1,1,32,32
160632,18903,2,2,22,16
160633,18903,3,3,22,21
160634,18903,4,4,23,26
160635,18904,1,1,25,41
160636,18904,2,2,32,37
160637,18904,3,3,24,26
160638,18904,4,4,19,34
160639,18905,1,1,45,30
160640,18905,2,2,40,26
160641,18905,3,3,29,43
160642,18905,4,4,27,32
160643,18906,1,1,31,38
160644,18906,2,2,22,24
160645,18906,3,3,24,25
160646,18906,4,4,23,24
160647,18908,1,1,25,27
160648,18908,2,2,29,20
160649,18908,3,3,24,31
160650,18908,4,4,22,34
160651,18907,1,1,31,26
160652,18907,2,2,28,24
160653,18907,3,3,20,23
160654,18907,4,4,26,37
160655,18909,1,1,36,34
